"Title","Work Item Type","Priority","Severity","State","Description","Acceptance Criteria","Tags"
"P0-021: `/healthz` returns healthy regardless of dependency state","Bug","1","1 - Critical","New","Finding: P0-021: `/healthz` returns healthy regardless of dependency state

Priority: P0

Resiliency Related: Yes

Issue: `HealthCheckMiddleware` is registered with an empty `checks={}` dict, so `/healthz` returns 200 regardless of Cosmos, Foundry, OpenAI, Search, Storage, MCP, or Service Bus state. In single-region this is misleading; once `{primaryRegion}` and `{secondaryRegion}` run active/active behind a GLB, the probe cannot tell a poisoned region from a healthy one — a dead `{primaryRegion}` keeps advertising success and the GLB keeps splitting traffic into a black hole.

File: src/backend/middleware/health_check.py:24-30

```python
# before — empty registry returns 200 for everything
class HealthCheckMiddleware:
 def __init__(self, app, checks: dict = None, password: str = """") -> None:
 self.app = app
 self._checks = checks or {} # always empty in app.py:108

 async def healthz(self) -> tuple[int, dict]:
 return 200, {""status"": ""ok""} # synthetic OK regardless of state
```

Recommended Fix: Build a `DependencyProbe` registry; split `/healthz/live` (process liveness) from `/healthz/ready` (dependency readiness); register Cosmos, Foundry, OpenAI, Service Bus, MCP, and JWKS as `critical=True`; cache probe results ~2s and run them concurrently with a 2s per-probe timeout. Wire the GLB origin probe to `/healthz/ready` only.","Build a `DependencyProbe` registry; split `/healthz/live` (process liveness) from `/healthz/ready` (dependency readiness); register Cosmos, Foundry, OpenAI, Service Bus, MCP, and JWKS as `critical=True`; cache probe results ~2s and run them concurrently with a 2s per-probe timeout. Wire the GLB origin probe to `/healthz/ready` only.","resiliency;P0-021"
"P0-022: External ACR `biabcontainerreg.azurecr.io`","Bug","1","1 - Critical","New","Finding: P0-022: External ACR `biabcontainerreg.azurecr.io`

Priority: P0

Resiliency Related: Yes

Issue: Container Apps and the App Service pull the runtime image from `biabcontainerreg.azurecr.io` — a Microsoft-owned shared registry not under customer control. During an outage of that single-region registry (or a network partition between either customer region and that hostname), cold-start of new replicas fails in `{primaryRegion}` and `{secondaryRegion}` simultaneously. An active/active topology that depends on a single shared external registry is not actually active/active.

File: infra/main.bicep:140-160

```bicep
// before — image pinned to an external Microsoft-owned registry
var backendImage = 'biabcontainerreg.azurecr.io/macae/backend:latest'
// ...
properties: {
 template: {
 containers: [ { name: 'backend', image: backendImage } ]
 }
}
```

Recommended Fix: Provision a Premium ACR with `replications` for both regions and `adminUserEnabled=false`; grant the workload UAMI `AcrPull` on the registry; mirror the upstream image as part of the `azd` pre-provision hook; replace every `biabcontainerreg.azurecr.io/...` literal with `${containerRegistryHostname}/...` sourced from the new ACR's `loginServer`; add a CI grep gate that fails the build if the external hostname reappears.","Provision a Premium ACR with `replications` for both regions and `adminUserEnabled=false`; grant the workload UAMI `AcrPull` on the registry; mirror the upstream image as part of the `azd` pre-provision hook; replace every `biabcontainerreg.azurecr.io/...` literal with `${containerRegistryHostname}/...` sourced from the new ACR's `loginServer`; add a CI grep gate that fails the build if the external hostname reappears.","resiliency;P0-022"
"P0-023: Jumpbox admin password fallback literal","Bug","1","1 - Critical","New","Finding: P0-023: Jumpbox admin password fallback literal

Priority: P0

Resiliency Related: Yes

Issue: The jumpbox VM's admin password has a hard-coded literal default (`JumpboxAdminP@ssw0rd1234!`) baked into `infra/main.bicep` and the compiled `infra/main.json`. Any deployer who runs `azd provision` without overriding the parameter creates a privileged VM with a known credential. When the WAF layout is symmetrically deployed to `{secondaryRegion}` (P0-004, P0-005), the same literal is replicated — doubling the blast radius — and many tenants' regional policy rejects plaintext passwords outright, so the secondary region cannot stand up cleanly for active/active.

File: infra/main.bicep:619-620

```bicep
// before — hard-coded password literal in source control
param vmAdminPassword string = 'JumpboxAdminP@ssw0rd1234!'
```

Recommended Fix: Delete the literal default; decorate the parameter with `@secure()` and remove any default value; source the value from Key Vault via `keyVault.id` + `secretName` syntax in `main.parameters.json`; rotate the compromised credential for every environment where this template was deployed; rebuild `infra/main.json` from the cleaned Bicep; add a CI gitleaks gate that fails on the literal substring `JumpboxAdminP@ssw0rd`.","Delete the literal default; decorate the parameter with `@secure()` and remove any default value; source the value from Key Vault via `keyVault.id` + `secretName` syntax in `main.parameters.json`; rotate the compromised credential for every environment where this template was deployed; rebuild `infra/main.json` from the cleaned Bicep; add a CI gitleaks gate that fails on the literal substring `JumpboxAdminP@ssw0rd`.","resiliency;P0-023"
"P0-024: No GLB / Front Door / App Gateway / Traffic Manager","Bug","1","1 - Critical","New","Finding: P0-024: No GLB / Front Door / App Gateway / Traffic Manager

Priority: P0

Resiliency Related: Yes

Issue: The IaC contains no Front Door, Traffic Manager, Application Gateway, or CDN profile. Even after `{primaryRegion}` and `{secondaryRegion}` are stood up symmetrically (P0-001 through P0-007), there is no global routing layer in front to fail traffic over. Clients resolve a single regional FQDN, so a region outage is a full outage and the active/active control plane built by every other P0 finding has no decision-maker to act on the readiness signal from P0-021.

File: infra/modules/global-load-balancer.bicep (absent)

```bicep
// before — no Front Door, Traffic Manager, App Gateway, or CDN profile in infra/.
// Clients resolve a single regional Container App FQDN. No failover layer exists.
```

Recommended Fix: Add a `Microsoft.Cdn/profiles` (Front Door Premium) at global scope with one `afdEndpoints` child per surface; create `originGroups` with `healthProbeSettings` pointing at `GET /healthz/ready` (HTTPS, 5s interval, 2s timeout); add two `origins` per group (`priority: 1` primary, `priority: 2` secondary); attach a WAF policy in Prevention mode; bind a custom domain via `afdCustomDomains` with a managed certificate; lock origin ingress to Front Door only (Private Link origin or `X-Azure-FDID` header validation).","Add a `Microsoft.Cdn/profiles` (Front Door Premium) at global scope with one `afdEndpoints` child per surface; create `originGroups` with `healthProbeSettings` pointing at `GET /healthz/ready` (HTTPS, 5s interval, 2s timeout); add two `origins` per group (`priority: 1` primary, `priority: 2` secondary); attach a WAF policy in Prevention mode; bind a custom domain via `afdCustomDomains` with a managed certificate; lock origin ingress to Front Door only (Private Link origin or `X-Azure-FDID` header validation).","resiliency;P0-024"
"P0-025: `/healthz` registered with `checks={}` (implementation evidence; cross-ref P0-021)","Bug","1","1 - Critical","New","Finding: P0-025: `/healthz` registered with `checks={}` (implementation evidence; cross-ref P0-021)

Priority: P0

Resiliency Related: Yes

Issue: `app.add_middleware(HealthCheckMiddleware, checks={}, password="""")` registers the middleware with an empty probe dict and an empty-string password literal. The dict short-circuits to 200 and the password literal is a dead artifact. Active/active across `{primaryRegion}` and `{secondaryRegion}` makes this fatal: the GLB has no truthful per-region signal to drive failover, so an unhealthy region continues to receive 50% of traffic indefinitely.

File: src/backend/app.py:108

```python
# before — synthetic OK with empty-string password literal
app.add_middleware(HealthCheckMiddleware, checks={}, password="""")
```

Recommended Fix: Delete the `checks={}` and `password=""""` arguments. Build a `probes` dict from the live dependency clients (no fresh client construction), mark Cosmos/Foundry/OpenAI/Service Bus/MCP as `critical=True`, mark Search/Storage as `critical=False`, and pass it to `HealthCheckMiddleware`.","Delete the `checks={}` and `password=""""` arguments. Build a `probes` dict from the live dependency clients (no fresh client construction), mark Cosmos/Foundry/OpenAI/Service Bus/MCP as `critical=True`, mark Search/Storage as `critical=False`, and pass it to `HealthCheckMiddleware`.","resiliency;P0-025"
"P0-026: Backend has no auth enforcement at Container App ingress","Bug","1","1 - Critical","New","Finding: P0-026: Backend has no auth enforcement at Container App ingress

Priority: P0

Resiliency Related: Yes

Issue: The backend Container App exposes `ingressExternal=true` with no `authConfigs` resource and no JWT validation in FastAPI. The app trusts whatever Easy Auth headers it receives, but Easy Auth is not configured, so unauthenticated traffic reaches route handlers directly and the principal is whatever the request claims. Once the GLB exposes the backend from both `{primaryRegion}` and `{secondaryRegion}`, the public attack surface doubles, and the Front Door origin can be bypassed if attackers find either Container App FQDN.

File: src/backend/app.py:99-109

```python
# before — no auth middleware; ingress accepts anonymous requests
app = FastAPI()
app.add_middleware(HealthCheckMiddleware, checks={}, password="""")
# (no AuthMiddleware; sample_user fallback fills request.state.principal)
```

Recommended Fix: Add a `Microsoft.App/containerApps/authConfigs` (Easy Auth v2) child to each regional backend with `unauthenticatedClientAction='Return401'`, configure Entra ID issuer/audience from Bicep params, allow-list `/healthz/live` and `/healthz/ready`, and add a FastAPI `AuthMiddleware` that re-validates the bearer token against JWKS and rejects when no principal resolves (no fallback).","Add a `Microsoft.App/containerApps/authConfigs` (Easy Auth v2) child to each regional backend with `unauthenticatedClientAction='Return401'`, configure Entra ID issuer/audience from Bicep params, allow-list `/healthz/live` and `/healthz/ready`, and add a FastAPI `AuthMiddleware` that re-validates the bearer token against JWKS and rejects when no principal resolves (no fallback).","resiliency;P0-026"
"P0-027: `sample_user` all-zeros principal fallback","Bug","1","1 - Critical","New","Finding: P0-027: `sample_user` all-zeros principal fallback

Priority: P0

Resiliency Related: Yes

Issue: When `X-Ms-Client-Principal` is missing, `auth_utils` returns a `sample_user` whose `oid` and `tid` are `00000000-0000-0000-0000-000000000000`. That synthetic id is used as the Cosmos partition key for plans, approvals, and connections. In a single-region deployment this already silently authorizes anonymous callers; in active/active across `{primaryRegion}` and `{secondaryRegion}`, every region exposes the same fallback, so the synthetic principal is uniformly privileged in both regions and cross-tenant data isolation collapses across the failover topology.

File: src/backend/auth/sample_user.py:32

```python
# before — anonymous request becomes a privileged synthetic user
def get_authenticated_user_details(request_headers):
 header = request_headers.get(""X-Ms-Client-Principal"")
 if header is None:
 return sample_user.sample_user # all-zeros oid/tid fallback
 return _decode_easy_auth_header(header)

# src/backend/auth/sample_user.py:32
sample_user = {
 ""oid"": ""00000000-0000-0000-0000-000000000000"",
 ""tid"": ""00000000-0000-0000-0000-000000000000"",
}
```

Recommended Fix: Delete the `sample_user` fallback from `get_authenticated_user_details()`; raise `AuthError(""missing_principal"")` instead. Move the `sample_user` literal into a test-only fixture under `src/tests/`. Audit Cosmos for documents whose `user_id` is the all-zeros oid and quarantine them. Add a regression grep that fails the build if `00000000-0000-0000-0000-000000000000` appears in `src/backend/`.","Delete the `sample_user` fallback from `get_authenticated_user_details()`; raise `AuthError(""missing_principal"")` instead. Move the `sample_user` literal into a test-only fixture under `src/tests/`. Audit Cosmos for documents whose `user_id` is the all-zeros oid and quarantine them. Add a regression grep that fails the build if `00000000-0000-0000-0000-000000000000` appears in `src/backend/`.","resiliency;P0-027"
"P0-028: MCP server runs unauthenticated when `enable_auth=True` but JWKS/issuer/audience env vars are unset","Bug","1","1 - Critical","New","Finding: P0-028: MCP server runs unauthenticated when `enable_auth=True` but JWKS/issuer/audience env vars are unset

Priority: P0

Resiliency Related: Yes

Issue: The MCP server reads `MCP_ENABLE_AUTH` and JWKS settings from env; when `enable_auth=True` but `JWKS_URI`, `MCP_ISSUER`, or `MCP_AUDIENCE` is unset, the current code logs a warning and starts anyway with auth effectively disabled. Active/active across `{primaryRegion}` and `{secondaryRegion}` makes env drift between regional Container Apps inevitable — if one region is missing an env var, the GLB happily routes MCP traffic into the open instance because nothing detects the misconfiguration.

File: src/mcp_server/mcp_server.py:31-52

```python
# before — warns and continues with auth effectively off
def _validate_auth_config() -> None:
 enabled = os.environ.get(""MCP_ENABLE_AUTH"", ""false"").lower() == ""true""
 if not enabled:
 return
 missing = [k for k in (""JWKS_URI"", ""MCP_ISSUER"", ""MCP_AUDIENCE"") if not os.environ.get(k)]
 if missing:
 log.warning(""mcp.auth.misconfigured missing=%s — starting unauthenticated"", missing)
 return # fails open
```

Recommended Fix: Replace the warn-and-continue branch with `sys.exit(1)` when `MCP_ENABLE_AUTH=true` and any required env var is missing. Default `MCP_ENABLE_AUTH=true` in IaC for both regional MCP Container Apps. Add a startup self-test that fetches JWKS once and emits `mcp.auth.startup.ok`; failure exits non-zero.","Replace the warn-and-continue branch with `sys.exit(1)` when `MCP_ENABLE_AUTH=true` and any required env var is missing. Default `MCP_ENABLE_AUTH=true` in IaC for both regional MCP Container Apps. Add a startup self-test that fetches JWKS once and emits `mcp.auth.startup.ok`; failure exits non-zero.","resiliency;P0-028"
"P0-029: WebSocket `user_id` accepted from query param without token validation","Bug","1","1 - Critical","New","Finding: P0-029: WebSocket `user_id` accepted from query param without token validation

Priority: P0

Resiliency Related: Yes

Issue: The WebSocket endpoint takes `user_id` from the query string and uses it directly as the connection key, with no token validation on upgrade. After P0-010 introduces the pub/sub backplane, every region subscribes to `user_id`-keyed topics — meaning any client can claim any user's stream simply by passing that user's id in the URL. Active/active across `{primaryRegion}` and `{secondaryRegion}` exposes the same flaw on both sides of the GLB, doubling the attack surface.

File: src/backend/v4/api/router.py:54-63

```python
# before — user_id from query param, no token check
@router.websocket(""/api/v4/ws"")
async def ws_handler(websocket: WebSocket, user_id: str = Query(...)):
 await websocket.accept()
 await connection_config.attach(user_id, websocket) # any client can claim any user
 while True:
 msg = await websocket.receive_json()
```

Recommended Fix: On WebSocket upgrade, read the bearer token from the `Authorization` header (or `?access_token=` for browser WS over `wss://`), call the same `validate_bearer_token` validator as `AuthMiddleware`, derive `user_id` from `principal[""oid""]`, close with code `1008` on missing/invalid token. Never trust the query-string `user_id`.","On WebSocket upgrade, read the bearer token from the `Authorization` header (or `?access_token=` for browser WS over `wss://`), call the same `validate_bearer_token` validator as `AuthMiddleware`, derive `user_id` from `principal[""oid""]`, close with code `1008` on missing/invalid token. Never trust the query-string `user_id`.","resiliency;P0-029"
"P0-030: Cosmos PE only in primary while Cosmos fails over","Bug","1","1 - Critical","New","Finding: P0-030: Cosmos PE only in primary while Cosmos fails over

Priority: P0

Resiliency Related: Yes

Issue: The Cosmos Private Endpoint exists only in the primary VNet; once Cosmos is given a secondary region (P0-003), the PE wiring is missing in `{secondaryRegion}`. With `publicNetworkAccess=Disabled`, secondary-region Container Apps either resolve the public Cosmos FQDN (blocked) or fail DNS entirely. After regional failover, Cosmos hands out the secondary write region, but the secondary region has no PE/DNS path to it — reads and writes time out, defeating active/active.

File: infra/main.bicep:1088-1101

```bicep
// before — Cosmos PE only in {primaryRegion}; secondary VNet has no PE or DNS link
resource cosmosPe 'Microsoft.Network/privateEndpoints@2024-05-01' = {
 name: 'pe-cosmos-${primaryLocation}'
 location: primaryLocation
 properties: {
 subnet: { id: networkPrimary.outputs.peSubnetId }
 privateLinkServiceConnections: [
 { name: 'cosmos', properties: { privateLinkServiceId: cosmos.outputs.resourceId, groupIds: [ 'Sql' ] } }
 ]
 }
}
```

Recommended Fix: Add a `Microsoft.Network/privateEndpoints` in `{secondaryRegion}` targeting the same Cosmos account (`groupIds: ['Sql']`) in the secondary PE subnet; ensure the global Private DNS zone exists exactly once; add `virtualNetworkLinks` for both VNets with `registrationEnabled=false`; add a `privateDnsZoneGroups` child to *each* PE; validate `nslookup` from each region resolves to the local PE IP.","Add a `Microsoft.Network/privateEndpoints` in `{secondaryRegion}` targeting the same Cosmos account (`groupIds: ['Sql']`) in the secondary PE subnet; ensure the global Private DNS zone exists exactly once; add `virtualNetworkLinks` for both VNets with `registrationEnabled=false`; add a `privateDnsZoneGroups` child to *each* PE; validate `nslookup` from each region resolves to the local PE IP.","resiliency;P0-030"
"P1-001: Azure OpenAI deployments single-region","Bug","2","2 - High","New","Finding: P1-001: Azure OpenAI deployments single-region

Priority: P1

Resiliency Related: Yes

Issue: OpenAI model deployments (`gpt-4o`, embeddings, etc.) are projected only through the primary-region Foundry account, with no peer deployments in `{secondaryRegion}`. The single-region topology means that on regional failover the secondary-region backend has no deployment to call: the SDK returns 404 / DNS errors for every chat-completions or embeddings request. Even a healthy peer Foundry account (P0-001) is useless until matching deployments and capacity exist there.

File: infra/modules/ai-services-deployments.bicep

```bicep
// Single-region projection — deployments only against primary Foundry
module openAiDeployments 'modules/ai-services-deployments.bicep' = {
 name: 'oai-deploys'
 params: {
 parentAccountName: aiFoundry.outputs.name
 deployments: openAiDeployments
 }
}
```

Recommended Fix: Promote the deployment list to a parameterized array consumed by `infra/modules/ai-services-deployments.bicep`, instantiate the module against both `aiFoundryPrimary` and `aiFoundrySecondary` with identical names + versions, and switch SKUs to `GlobalStandard` (or `DataZoneStandard` where allowed) so quota is portable.","Promote the deployment list to a parameterized array consumed by `infra/modules/ai-services-deployments.bicep`, instantiate the module against both `aiFoundryPrimary` and `aiFoundrySecondary` with identical names + versions, and switch SKUs to `GlobalStandard` (or `DataZoneStandard` where allowed) so quota is portable.","resiliency;P1-001"
"P1-002: Azure AI Search 1×1 + public network, single-region","Bug","2","2 - High","New","Finding: P1-002: Azure AI Search 1×1 + public network, single-region

Priority: P1

Resiliency Related: Yes

Issue: AI Search is provisioned at `replicaCount=1, partitionCount=1` with public network access in `{primaryRegion}` only. The single-region → active/active migration requires a peer Search service in `{secondaryRegion}`; today a single replica failure or zone incident takes RAG offline, and there is no peer service to satisfy grounded retrieval after cutover. Public network access also widens attack surface relative to the rest of the stack which is on Private Endpoints.

File: infra/main.bicep:1697-1751

```bicep
module search 'br/public:avm/res/search/search-service:0.x.y' = {
 name: 'srch'
 params: {
 name: 'srch-${solutionPrefix}'
 location: location
 sku: 'standard'
 replicaCount: 1
 partitionCount: 1
 publicNetworkAccess: 'Enabled'
 }
}
```

Recommended Fix: Provision a peer `Microsoft.Search/searchServices` in `{secondaryRegion}` via the same module with `replicaCount: 3` and `partitionCount: 2`, set `publicNetworkAccess: 'Disabled'`, add Private Endpoints with `privatelink.search.windows.net`, and drive index parity from a JSON catalog applied to both services post-deploy.","Provision a peer `Microsoft.Search/searchServices` in `{secondaryRegion}` via the same module with `replicaCount: 3` and `partitionCount: 2`, set `publicNetworkAccess: 'Disabled'`, add Private Endpoints with `privatelink.search.windows.net`, and drive index parity from a JSON catalog applied to both services post-deploy.","resiliency;P1-002"
"P1-003: Container Apps + Environment zone redundancy gated","Bug","2","2 - High","New","Finding: P1-003: Container Apps + Environment zone redundancy gated

Priority: P1

Resiliency Related: Yes

Issue: The Container Apps Environment hosting `backend` and `mcp_server` is provisioned in `{primaryRegion}` with `zoneRedundant` left at the AVM default (false) and Container Apps in `revisionsMode='Single'`. The single-region → active/active topology requires a peer Environment in `{secondaryRegion}`; today a zone incident takes all replicas down at once and during regional failover there is no environment to host workloads at all.

File: infra/main.bicep:1143-1170

```bicep
module acaEnv 'br/public:avm/res/app/managed-environment:0.x.y' = {
 name: 'aca-env'
 params: {
 name: 'cae-${solutionPrefix}'
 location: location
 // zoneRedundant defaults to false
 }
}

resource backendApp 'Microsoft.App/containerApps@2024-03-01' = {
 properties: {
 configuration: { activeRevisionsMode: 'Single' }
 }
}
```

Recommended Fix: Set `zoneRedundant: true` on both Environments, ensure the delegated subnet meets `/27` minimum, set `revisionsMode: 'Multiple'` plus `minReplicas: 3` on every Container App, and provision a peer Environment bound to the `{secondaryRegion}` VNet.","Set `zoneRedundant: true` on both Environments, ensure the delegated subnet meets `/27` minimum, set `revisionsMode: 'Multiple'` plus `minReplicas: 3` on every Container App, and provision a peer Environment bound to the `{secondaryRegion}` VNet.","resiliency;P1-003"
"P1-004: App Service + Plan zone redundancy gated","Bug","2","2 - High","New","Finding: P1-004: App Service + Plan zone redundancy gated

Priority: P1

Resiliency Related: Yes

Issue: The frontend App Service plan uses `P1v3`-class without `zoneRedundant=true` and there is no peer plan in `{secondaryRegion}`. The single-region → active/active design needs a UI origin behind the GLB in both regions; today a zone outage takes the SPA origin offline and regional failover has no UI origin until a peer is provisioned. `healthCheckPath` is also unset, so App Service intra-plan load balancing does not exclude unhealthy instances.

File: infra/main.bicep:1539-1573

```bicep
module webPlan 'br/public:avm/res/web/serverfarm:0.x.y' = {
 name: 'plan'
 params: {
 name: 'asp-${solutionPrefix}'
 location: location
 skuName: 'P1v3'
 // zoneRedundant defaults to false; capacity not pinned
 }
}

module webApp 'br/public:avm/res/web/site:0.x.y' = {
 params: {
 siteConfig: { minTlsVersion: '1.2' } // healthCheckPath unset
 }
}
```

Recommended Fix: Set `sku: { name: 'P1v3', tier: 'PremiumV3' }`, `zoneRedundant: true`, and `skuCapacity: 3` on both regional plans; set `healthCheckPath: '/healthz/ready'` on each Web App; place both behind the GLB.","Set `sku: { name: 'P1v3', tier: 'PremiumV3' }`, `zoneRedundant: true`, and `skuCapacity: 3` on both regional plans; set `healthCheckPath: '/healthz/ready'` on each Web App; place both behind the GLB.","resiliency;P1-004"
"P1-005: Container Registry no geo-replication","Bug","2","2 - High","New","Finding: P1-005: Container Registry no geo-replication

Priority: P1

Resiliency Related: Yes

Issue: The customer-owned ACR is single-region with no `replications` block. The single-region → active/active topology means that on a regional outage of the ACR home region, image pulls in `{secondaryRegion}` fail (DNS or 5xx) and Container Apps cannot scale or roll new revisions. Cross-region pulls from the surviving region also breach data-locality intent and add latency to cold-starts.

File: infra/main.bicep:140-160

```bicep
module acr 'br/public:avm/res/container-registry/registry:0.x.y' = {
 name: 'acr-${solutionPrefix}'
 params: {
 name: 'acr${solutionPrefix}'
 location: location
 acrSku: 'Standard' // no replications, no zone redundancy
 }
}
```

Recommended Fix: Set `acrSku: 'Premium'`, add `replications: [{ location: secondaryLocation }]` (the base account is the primary), enable `zoneRedundancy: 'Enabled'`, and grant `AcrPull` to both regions' UAMIs at the registry scope.","Set `acrSku: 'Premium'`, add `replications: [{ location: secondaryLocation }]` (the base account is the primary), enable `zoneRedundancy: 'Enabled'`, and grant `AcrPull` to both regions' UAMIs at the registry scope.","resiliency;P1-005"
"P1-006: Storage Blob default replication (LRS)","Bug","2","2 - High","New","Finding: P1-006: Storage Blob default replication (LRS)

Priority: P1

Resiliency Related: Yes

Issue: The Storage account hosting documents and indexed sources is created without an explicit `skuName`, and `enableRedundancy` is not threaded into the AVM call, so the account defaults to `Standard_LRS`. The single-region → active/active migration requires zone- and region-redundant storage; today a zone incident loses durability and a regional outage loses availability of every blob the RAG pipeline depends on.

File: infra/main.bicep:1597-1612

```bicep
module storage 'br/public:avm/res/storage/storage-account:0.x.y' = {
 name: 'st-${solutionPrefix}'
 params: {
 name: 'st${solutionPrefix}'
 location: location
 // skuName omitted => defaults to Standard_LRS
 // enableRedundancy not threaded
 publicNetworkAccess: 'Enabled'
 }
}
```

Recommended Fix: Add a `storageSkuName` parameter (default `Standard_GZRS`, allowed `[Standard_GZRS, Standard_RAGZRS, Standard_ZRS]`), pass it plus `enableRedundancy` into the AVM, and configure the SDK with `secondary_hostname` so reads can fall back to `<acct>-secondary.blob.core.windows.net`.","Add a `storageSkuName` parameter (default `Standard_GZRS`, allowed `[Standard_GZRS, Standard_RAGZRS, Standard_ZRS]`), pass it plus `enableRedundancy` into the AVM, and configure the SDK with `secondary_hostname` so reads can fall back to `<acct>-secondary.blob.core.windows.net`.","resiliency;P1-006"
"P1-007: Entra ID + UAMI cross-region readiness","Bug","2","2 - High","New","Finding: P1-007: Entra ID + UAMI cross-region readiness

Priority: P1

Resiliency Related: Yes

Issue: A single `Microsoft.ManagedIdentity/userAssignedIdentities` is created in `{primaryRegion}` and attached to every workload and data plane (Cosmos, Foundry, OpenAI, Search, Storage, ACR), with RBAC granted on resources that live only in the primary region. Moving from single-region to active/active means data-plane RBAC will not be propagated for the same UAMI on peer resources in `{secondaryRegion}` unless mirrored, and a primary-region IMDS metadata propagation issue can stall token issuance from secondary replicas.

File: infra/main.bicep:384-388

```bicep
resource uami 'Microsoft.ManagedIdentity/userAssignedIdentities@2023-01-31' = {
 name: 'id-${solutionPrefix}'
 location: location
}
// RBAC granted only to primary-region resources
```

Recommended Fix: Create `uamiPrimary` and `uamiSecondary`, attach the local UAMI to each region's workloads, and grant both UAMIs the required role on every regional data-plane resource using deterministic role-assignment GUIDs. Read `tenant_id` and `client_id` from env only.","Create `uamiPrimary` and `uamiSecondary`, attach the local UAMI to each region's workloads, and grant both UAMIs the required role on every regional data-plane resource using deterministic role-assignment GUIDs. Read `tenant_id` and `client_id` from env only.","resiliency;P1-007"
"P1-008: Bastion zone-redundancy not configured","Bug","2","2 - High","New","Finding: P1-008: Bastion zone-redundancy not configured

Priority: P1

Resiliency Related: Yes

Issue: Bastion is provisioned without `availabilityZones`, so a single-zone fault in `{primaryRegion}` removes the only operator entry path. The single-region → active/active design needs a peer Bastion in `{secondaryRegion}` plus zone redundancy in each region; during a zonal incident or regional failover triage today the team has no jumpbox path until a peer Bastion is built.

File: infra/main.bicep:421-433

```bicep
resource bastion 'Microsoft.Network/bastionHosts@2023-11-01' = {
 name: 'bas-${solutionPrefix}'
 location: location
 sku: { name: 'Basic' }
 // no availabilityZones property
}
```

Recommended Fix: Use `skuName: 'Standard'` with `availabilityZones: ['1','2','3']` and provision a peer Bastion in `{secondaryRegion}` with the same configuration; document the operator runbook for cross-region access via `<bastion-secondary>.bastion.azure.com`.","Use `skuName: 'Standard'` with `availabilityZones: ['1','2','3']` and provision a peer Bastion in `{secondaryRegion}` with the same configuration; document the operator runbook for cross-region access via `<bastion-secondary>.bastion.azure.com`.","resiliency;P1-008"
"P1-009: Windows Jumpbox VM zone-1 pinned + PPG","Bug","2","2 - High","New","Finding: P1-009: Windows Jumpbox VM zone-1 pinned + PPG

Priority: P1

Resiliency Related: Yes

Issue: The Windows jumpbox VM is pinned to `zones: [1]` inside a proximity placement group (PPG). The single-region → active/active design needs zone-spanning operator hosts in each region; today a zone-1 incident in `{primaryRegion}` removes the only operator host, the PPG forbids relocating the VM across zones without redeploy, and there is no peer jumpbox in `{secondaryRegion}`.

File: infra/main.bicep:609-660

```bicep
resource jumpboxVm 'Microsoft.Compute/virtualMachines@2024-03-01' = {
 name: 'vm-jump-${solutionPrefix}'
 location: location
 zones: [ '1' ]
 properties: {
 proximityPlacementGroup: { id: ppg.id }
 osProfile: {
 adminUsername: 'azureuser'
 adminPassword: 'literalPassword' // P0-023
 }
 }
}
```

Recommended Fix: Replace `Microsoft.Compute/virtualMachines` with `Microsoft.Compute/virtualMachineScaleSets` (`zones: ['1','2','3']`, `capacity: 1`), drop the PPG resource and any `proximityPlacementGroup` reference, and provision a peer VMSS in `{secondaryRegion}` with `adminPassword` from Key Vault.","Replace `Microsoft.Compute/virtualMachines` with `Microsoft.Compute/virtualMachineScaleSets` (`zones: ['1','2','3']`, `capacity: 1`), drop the PPG resource and any `proximityPlacementGroup` reference, and provision a peer VMSS in `{secondaryRegion}` with `adminPassword` from Key Vault.","resiliency;P1-009"
"P1-010: App Service Easy Auth single-tenant config","Bug","2","2 - High","New","Finding: P1-010: App Service Easy Auth single-tenant config

Priority: P1

Resiliency Related: Yes

Issue: App Service Easy Auth is configured for a single-tenant app registration tied to the primary deployment, and the platform settings do not set `requireAuthentication: true` or `unauthenticatedClientAction: RedirectToLoginPage`. Moving from single-region to active/active means deploying the SPA in `{secondaryRegion}` without symmetric Easy Auth config breaks login from the failover region, and the platform-level guard may remain in audit mode in either region.

File: infra/modules/web-sites.config.bicep:10-11

```bicep
resource authConfig 'Microsoft.Web/sites/config@2023-12-01' = {
 name: '${siteName}/authsettingsV2'
 properties: {
 platform: { enabled: true }
 // requireAuthentication not set; single-tenant registration
 identityProviders: { azureActiveDirectory: { enabled: true } }
 }
}
```

Recommended Fix: Set `globalValidation.requireAuthentication: true` and `unauthenticatedClientAction: 'RedirectToLoginPage'`, use one app registration with redirect URIs for both Web Apps and the GLB hostname, parameterize `tenantId`, and reference the client secret only via `clientSecretSettingName` backed by Key Vault (or use federated credentials).","Set `globalValidation.requireAuthentication: true` and `unauthenticatedClientAction: 'RedirectToLoginPage'`, use one app registration with redirect URIs for both Web Apps and the GLB hostname, parameterize `tenantId`, and reference the client secret only via `clientSecretSettingName` backed by Key Vault (or use federated credentials).","resiliency;P1-010"
